get all image files
time used to extract image data: 21.37503480911255
time used to extract image data: 21.328110694885254
time used to extract image data: 21.30218267440796
time used to extract image data: 21.490801095962524
time used to extract image data: 21.612958669662476
time used to extract image data: 21.62154507637024
time used to extract image data: 21.69056797027588
time used to extract image data: 21.66392683982849
time used to extract image data: 21.639578819274902
time used to extract image data: 21.793389081954956
time used to extract image data: 21.807838439941406
time used to extract image data: 21.899189233779907
time used to extract image data: 22.098397493362427
time used to extract image data: 22.013333082199097
time used to extract image data: 22.265894889831543
time used to extract image data: 22.158714532852173
time used to extract image data: 22.233540058135986
time used to extract image data: 22.291780471801758
time used to extract image data: 22.354373693466187
time used to extract image data: 22.41462254524231
time used to extract image data: 22.513089418411255
time used to extract image data: 22.54625940322876
time used to extract image data: 22.553093671798706
time used to extract image data: 22.725268840789795
time used to extract image data: 22.977904558181763
time used to extract image data: 22.768490076065063
time used to extract image data: 22.75113606452942
time used to extract image data: 22.974046230316162
time used to extract image data: 22.883863925933838
time used to extract image data: 23.075583457946777
time used to extract image data: 23.181476831436157
time used to extract image data: 23.026098012924194
time used to extract image data: 23.41860842704773
time used to extract image data: 23.58475923538208
time used to extract image data: 23.162261486053467
time used to extract image data: 23.292173624038696
time used to extract image data: 23.30471420288086
time used to extract image data: 23.460427284240723
time used to extract image data: 23.680583238601685
time used to extract image data: 23.468440294265747
time used to extract image data: 23.65844202041626
time used to extract image data: 23.745920658111572
time used to extract image data: 23.600908041000366
time used to extract image data: 23.767252206802368
time used to extract image data: 23.73250102996826
time used to extract image data: 23.965160608291626
time used to extract image data: 23.865354776382446
time used to extract image data: 23.922021627426147
time used to extract image data: 23.947805881500244
time used to extract image data: 24.061981201171875
time used to extract image data: 24.01574158668518
time used to extract image data: 24.104994297027588
time used to extract image data: 24.119423151016235
time used to extract image data: 24.191792726516724
time used to extract image data: 24.240861654281616
time used to extract image data: 24.317063808441162
time used to extract image data: 24.328205585479736
time used to extract image data: 24.343061447143555
time used to extract image data: 24.42698359489441
time used to extract image data: 24.468847513198853
time used to extract image data: 24.535152912139893
time used to extract image data: 24.6224205493927
time used to extract image data: 24.69983673095703
time used to extract image data: 24.850120306015015
time used to extract image data: 24.785621166229248
time used to extract image data: 24.808188676834106
time used to extract image data: 24.985740184783936
time used to extract image data: 25.302945613861084
time used to extract image data: 25.348691940307617
time used to extract image data: 25.343482732772827
time used to extract image data: 25.35229516029358
time used to extract image data: 25.38420867919922
